filename_in,filename_out
84744.tiff,UofA_WW2_Italy_50k_058_III.tif
84745.tiff,UofA_WW2_Italy_50k_059_IV.tif
84746.tiff,UofA_WW2_Italy_50k_060_I.tif
84747.tiff,UofA_WW2_Italy_50k_060_II.tif
84748.tiff,UofA_WW2_Italy_50k_060_III.tif
84749.tiff,UofA_WW2_Italy_50k_186_III.tif
84750.tiff,UofA_WW2_Italy_50k_186_IV.tif
84751.tiff,UofA_WW2_Italy_50k_187_I.tif
84752.tiff,UofA_WW2_Italy_50k_187_II.tif
84753.tiff,UofA_WW2_Italy_50k_188_III.tif
84754.tiff,UofA_WW2_Italy_50k_188_IV.tif
84755.tiff,UofA_WW2_Italy_50k_189_I.tif
84756.tiff,UofA_WW2_Italy_50k_189_II.tif
84757.tiff,UofA_WW2_Italy_50k_061_IV.tif
84758.tiff,UofA_WW2_Italy_50k_062_II.tif
84759.tiff,UofA_WW2_Italy_50k_062_III.tif
84760.tiff,UofA_WW2_Italy_50k_062_IV.tif
84761.tiff,UofA_WW2_Italy_50k_064_I.tif
84762.tiff,UofA_WW2_Italy_50k_064_II.tif
84763.tiff,UofA_WW2_Italy_50k_064_III.tif
84764.tiff,UofA_WW2_Italy_50k_064_IV.tif
84765.tiff,UofA_WW2_Italy_50k_191_III.tif
84766.tiff,UofA_WW2_Italy_50k_192_I.tif
84767.tiff,UofA_WW2_Italy_50k_192_II.tif
84768.tiff,UofA_WW2_Italy_50k_192_IV.tif
84769.tiff,UofA_WW2_Italy_50k_194_I.tif
84770.tiff,UofA_WW2_Italy_50k_194_II.tif
84771.tiff,UofA_WW2_Italy_50k_194_III.tif
84772.tiff,UofA_WW2_Italy_50k_194_IV.tif
84773.tiff,UofA_WW2_Italy_50k_197_I.tif
84774.tiff,UofA_WW2_Italy_50k_197_IV.tif
84775.tiff,UofA_WW2_Italy_50k_198_I.tif
84776.tiff,UofA_WW2_Italy_50k_198_II.tif
84777.tiff,UofA_WW2_Italy_50k_069_II.tif
84778.tiff,UofA_WW2_Italy_50k_069_III.tif
84779.tiff,UofA_WW2_Italy_50k_069_IV.tif
84780.tiff,UofA_WW2_Italy_50k_070_I.tif
84781.tiff,UofA_WW2_Italy_50k_071_II.tif
84782.tiff,UofA_WW2_Italy_50k_071_III.tif
84783.tiff,UofA_WW2_Italy_50k_071_IV.tif
84784.tiff,UofA_WW2_Italy_50k_072_I.tif
84785.tiff,UofA_WW2_Italy_50k_065_III.tif
84786.tiff,UofA_WW2_Italy_50k_065_IV.tif
84787.tiff,UofA_WW2_Italy_50k_067_III.tif
84788.tiff,UofA_WW2_Italy_50k_068_I.tif
84789.tiff,UofA_WW2_Italy_50k_080_I.tif
84790.tiff,UofA_WW2_Italy_50k_081_I.tif
