identifier,crs
HTDP63360K031G06_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G06_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G06_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G06_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G06_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G06_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G07_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G07_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G07_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G07_1937_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G07_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1944_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1945_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G08_1945,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G09_1910,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G09_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G09_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G09_1943_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G10_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G10_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G10_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G10_1933_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G11_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G11_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G11_1925,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G11_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031L01_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031L02_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031L06_1943_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031L08_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031N01_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031P04_1950,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040G10-G15_1913,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040G10-G15_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040G10-G15_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
